lng,lat,hosname,level,precise,confidence
114.1028711862163,22.573582231893912,中国人民武装警察边防部队总医院,医疗,1,70
114.25069509949915,22.69437944996895,中国医学科学院肿瘤医院深圳医院,医疗,0,70
113.95034982364623,22.54287159851807,北京大学深圳医院,宾馆,1,75
113.89674667774541,22.54429045647341,南方医科大学深圳医院,医疗,1,70
114.11268798801271,22.608451663093167,深圳万东医院,医疗,1,70
113.82842399037362,22.722923085800247,深圳万丰医院,医疗,1,70
114.0202101979127,22.6458891903053,深圳中仁泌尿外科医院,医疗,1,70
113.951383399677,22.786615019132217,深圳中山大学附属第七医院,医疗,1,70
114.06894528073451,22.528276893714427,深圳中山泌尿外科医院,医疗,1,70
114.1262629525261,22.606669104690063,深圳中海医院,医疗,1,70
114.08550227651614,22.537077524911588,深圳五洲中医医院,医疗,1,70
114.25607733279746,22.719516933421517,深圳仁安医院,医疗,1,70
114.1180263967534,22.584671814589985,深圳仁康医院,医疗,1,70
114.04144805507985,22.520618732490405,深圳仁爱医院,医疗,1,70
114.04286872708137,22.710754441760493,深圳伟光医院,医疗,1,70
114.03814880703882,22.629180709988308,深圳健安医院,医疗,1,70
114.19338865144711,22.64378907264189,深圳六联医院,医疗,1,70
114.02479689395155,22.666756926413747,深圳军龙医院,医疗,1,70
114.13778094866683,22.54652619918739,深圳凤凰医院,医疗,1,70
114.25697131359757,22.71555380381272,深圳华丹医院,医疗,1,70
114.14387280916033,22.68756028922629,深圳华侨医院,医疗,1,70
113.9904759462019,22.541994421677884,深圳华侨城医院,医疗,1,70
114.34534913301978,22.69326300536179,深圳华南妇科医院,医疗,1,70
114.01447015169516,22.546125322079046,深圳华厦眼科医院,医疗,1,70
114.07104718296505,22.656528620846622,深圳华夏医院,医疗,1,70
114.10770310822737,22.547028313140522,深圳博爱医院,医疗,1,70
114.01209296357185,22.673792778112297,深圳厚德医院,医疗,1,70
114.10365512234304,22.56185672691406,深圳友谊医院,医疗,1,70
114.07961984582322,22.52811164836938,深圳口岸医院,医疗,1,70
113.8716267858133,22.57546815245451,深圳同仁妇产医院,医疗,1,70
114.04220302482278,22.541457355382963,深圳和平医院,医疗,1,70
113.92209249384256,22.54103685714827,深圳和美妇儿科医院,医疗,1,70
114.04318570859931,22.64478241468069,深圳国丹妇儿科医院,教育,1,70
114.06744286390423,22.627930698571156,深圳坂田医院,医疗,1,70
113.83019904895713,22.764504366161276,深圳复亚医院,医疗,1,70
113.93855892945825,22.532469758589674,深圳大学医院,医疗,1,70
113.98744355722661,22.59444095892043,深圳大学总医院,医疗,1,70
113.83450419807455,22.711549912171154,深圳天伦医院,医疗,1,70
113.92838007949037,22.519560160864817,深圳美奥口腔医院,医疗,1,70
114.1926513791971,22.635175428292616,深圳宝兴医院,医疗,1,70
114.32007125869895,22.700241217017318,深圳宝坪医院,医疗,1,70
113.89575842379408,22.581069334052522,深圳宝生妇儿科医院,医疗,1,70
113.87580968365727,22.782947880331758,深圳宝田医院,医疗,1,70
114.03643492065777,22.52058909197391,深圳岭南医院,医疗,1,70
113.89934231419053,22.571941354707832,深圳市中医院,医疗,1,70
114.2473427130461,22.560383550939815,深圳市人民医院,医疗,1,70
114.02384458080661,22.66477881275809,深圳市人民医院龙华分院,医疗,1,70
114.0547420002459,22.547619908824842,深圳市儿童医院,医疗,1,70
113.9018300780768,22.763775243818962,深圳市光明新区人民医院,医疗,1,70
114.10836380713091,22.54446370863875,深圳市公安局戒毒专科医院,政府机构,1,70
114.10836380713091,22.54446370863875,深圳市公安局监管医院,政府机构,1,70
114.10836380713091,22.54446370863875,深圳市公安局预审监管支队监管医院,政府机构,1,70
113.92355952477085,22.530762958147307,深圳市南山区人民医院,医疗,1,70
113.92106509501956,22.526106191658805,深圳市南山区妇幼保健院,医疗,1,70
